link_researcher,assunto_keywords,assunto_ids
/pt/auxilios/18680/avaliacao-da-resistencia-da-uniao-de-uma-resina-composta-a-duas-ligas-ni-cr-e-co-cr-e-ao-ti-cp-uti/,Prótese parcial fixa##Resistência de união (odontologia)##Ciclagem térmica (odontologia)##Tratamento térmico##Resinas compostas##Ligas metálicas,7630##11235##19742##3437##3509##762
/pt/auxilios/18834/avaliacao-dos-paramentros-clinicos-microbiologicos-e-imunologicos-de-implantes-osseointegrados/,Implantes osseointegrados##Hibridização de DNA-DNA##Peri-implantite##Microbiota##Interleucina-1beta##Metaloproteinase 8 da matriz,6051##167447##160913##164256##8668##167289
/pt/auxilios/18379/preferencia-do-perfil-tegumentar-por-brasileiros/,Análise facial,160277
/pt/auxilios/18477/estudo-in-vitro-do-clareamento-dental-interno-associando-agentes-clareadores-a-clorexidina-gel-2/,Clareamento de dente##Perborato de sódio##Clorexidina##Peróxido de carbamida##Peróxido de hidrogênio##Anti-infecciosos,13845##175098##6243##149250##3433##162377
/pt/auxilios/18566/avaliacao-da-capacidade-de-regeneracao-dos-tecidos-apos-a-trepanacao-de-furcas-de-caes-utilizando-s/,Trepanação,152493
/pt/auxilios/18638/estudo-da-biocompatibilidade-de-ligas-metalicas-odontologicas-e-do-ti-cp-obtidos-por-fundicao/,Fundição odontológica##Ligas metálicas##Teste de biocompatibilidade##Corrosão dos materiais##Titânio,11865##762##8885##21##1363
/pt/auxilios/18641/efeito-do-protocolo-de-condensacao-ossea-na-osseointegracao-estudo-experimental-em-caes/,Ósseointegração##Próteses e implantes##Fluorescência,3597##1432##2245
/pt/auxilios/18649/estudo-comparativo-da-fusibilidade-e-adaptacao-marginal-do-titaneo-puro-processado-por-fundicao-por/,Titânio##Adaptação marginal dentária,1363##159810
/pt/auxilios/18660/porosidade-em-bases-de-protese-total-de-resina-acrilica-processadas-atraves-de-diferentes-metodos-de/,Porosidade##Resinas acrílicas##Prótese total##Micro-ondas,2546##8052##4600##160855
/pt/auxilios/18709/analise-da-inervacao-trigeminal-nitrergica-e-do-tecido-osseo-mandibular-neoformado-por-meio-da-tecni/,Regeneração óssea##Implantes dentários##Óxido nítrico,3451##1367##1252
/pt/auxilios/18277/como-os-sistemas-de-fotoativacao-podem-influenciar-na-qualidade-das-restauracoes-esteticas-avaliaca/,Polimerização##Resinas compostas,2130##3509
/pt/auxilios/18401/avaliacao-da-biocompatibilidade-in-vitro-e-in-vivo-de-tres-composicoes-quimicas-da-ceramica-de-vidro/,Solubilidade##Ósseointegração,5394##3597
/pt/auxilios/18408/efeito-do-plasma-rico-em-plaquetas-associado-ou-nao-a-membranas-nao-reabsorviveis-no-tratamento-de-d/,Defeitos ósseos##Fraturas periprotéticas##Regeneração óssea##Plasma rico em plaquetas##Membranas absorvíveis##Cães,169001##169019##3451##149394##3674##3722
/pt/auxilios/18691/estudo-da-influencia-da-ciclagem-termica-e-mecanica-na-resistencia-a-flexao-da-interface-formada-por/,Titânio##Microscopia eletrônica de varredura,1363##7819
/pt/auxilios/18136/resistencia-de-uniao-e-caracterizacao-morfologica-do-esmalte-e-dentina-de-dentes-deciduos-tratados-c/,Morfologia (anatomia),162075
/pt/auxilios/18346/efeito-da-concentracao-de-sacarose-na-composicao-da-placa-dental-e-no-desenvolvimento-de-carie-denta/,Cárie dentária##Placa bacteriana##Sacarose##Microdureza##Polissacarídeos##Estudo in situ,311##313##3259##159666##1992##165961
/pt/auxilios/18357/avaliacao-dos-niveis-de-interleucina-1b-em-pacientes-com-doenca-periodontal-na-menopausa-e-com-diabe/,Doenças periodontais##Menopausa,5504##1605
/pt/auxilios/18173/reparacao-periodontal-de-defeitos-de-furca-classe-ii-com-o-uso-de-enxerto-de-tecido-osseo-neoformado/,Reparação periodontal##Defeitos da furca##Enxerto periodontal##Fator de crescimento insulin-like I##Fator de crescimento derivado de plaquetas,162589##162019##150424##7097##161405
/pt/auxilios/17101/comparacao-entre-tecnica-indireta-e-o-sistema-rvg-quanto-ao-diagnostico-precoce-de-perdas-minerais/,Desmineralização do dente##Cárie dentária##Imagem digital##Técnica de subtração,15800##311##2025##158773
/pt/auxilios/17406/avaliacao-de-parametros-cardiovasculares-em-portadores-de-alteracoes-cardiovasculares-submetidos-a/,Ansiedade,660
/pt/auxilios/17695/analise-eletromiografica-dos-musculos-orbicular-da-boca-fasciculos-superior-e-inferior-masseter-e/,Deficiência auditiva##Músculo orbicular da boca##Músculos mastigatórios##Eletromiografia,19764##160243##153877##11027
/pt/auxilios/18061/avaliacao-da-resistencia-a-fratura-de-tres-diferentes-tipos-de-limas-rotatorias-de-niquel-titanio/,Torque##Deformação##Fratura,148253##174168##176360
/pt/auxilios/17984/avaliacao-dos-principais-fatores-de-risco-da-carie-dentaria-em-uma-populacao-com-atencao-precoce/,Cárie dentária##Placa bacteriana##Fatores de risco##Dieta##Saliva##Pré-escolar,311##313##1076##5964##4724##987
/pt/auxilios/17935/avaliacao-microbiologica-e-do-reparo-da-regiao-apical-e-periapical-apos-preparo-biomecanico-dos-cana/,Lesões periapicais##Clorexidina,150095##6243
/pt/auxilios/17168/avaliacao-morfologica-e-funcional-do-sistema-mastigatorio-nas-denticoes-decidua-e-mista/,Eletromiografia##Eficiência mastigatória##Prótese parcial removível##Força de mordida##Paladar,11027##176973##23899##19772##12298
/pt/auxilios/17704/possiveis-patogenos-endodonticos-em-canais-radiculares-prevalencia-fatores-de-virulencia-caracteri/,Bactérias anaeróbias##Prevotella##Porphyromonas##Biologia molecular,8424##168188##152459##157808
/pt/auxilios/17732/efeitos-do-estrogeno-e-da-progesterona-na-regeneracao-da-glandula-parotida-apos-atrofia-por-ligadura/,Atrofia##Estrógenos##Ovariectomia##Progesterona,5896##3170##8351##2866
/pt/auxilios/17536/estudo-de-metaloproteinases-de-matriz-e-colageno-de-reparo-osseo-alveolar-em-ratas-osteoporoticas/,Colágeno##Osteoporose##Reparo ósseo,3617##8148##14727
/pt/auxilios/16654/analise-da-microdureza-do-esmalte-adjacente-a-restauracoes-com-um-cimento-de-ionomero-de-vidro-e-um/,Microdureza##Cimentos de ionômeros de vidro,159666##3746
/pt/auxilios/2985/avaliacao-in-vitro-da-resistencia-a-micro-tracao-de-ceramica-feldspatica-de-baixa-fusao-ou-injetave/,Restauração dentária##Materiais dentários##Porcelana dentária##Sistemas cerâmicos##Resinas compostas,6718##222##19804##968##3509
/pt/auxilios/2998/aplicacao-dos-acos-inoxidaveis-duplex-em-fios-ortodonticos/,Fios ortodônticos##Ortodontia##Nióbio##Aço inoxidável##Aço inoxidável duplex##Corrosão,6737##158147##3673##283##6738##1000
/pt/auxilios/17040/diagnostico-de-carie-oclusal-uma-comparacao-entre-a-inspecao-visual-e-o-laser-fluorescente/,Diagnóstico bucal##Cárie dentária##Fluorescência##Laser,8397##311##2245##1613
/pt/auxilios/17065/avaliacao-morfologica-por-microscopia-eletronica-de-varredura-e-da-microinfiltracao-marginal-em-prep/,Adesivos dentinários##Laser do estado sólido##Microscopia eletrônica de varredura##Microinfiltração marginal,15631##2517##7819##154545
/pt/auxilios/17449/analise-cinesiografica-das-alteracoes-funcionais-associadas-a-instalacao-de-dentaduras-completas/,Prótese total,4600
/pt/auxilios/16790/avaliacao-in-vitro-da-microinfiltracao-marginal-e-da-resistencia-a-tracao-de-sistemas-restauradores/,Resistência à tração##Microinfiltração marginal##Resinas compostas##Cimentos de ionômeros de vidro,6463##154545##3509##3746
/pt/auxilios/16865/efeito-da-instrumentacao-rotatoria-e-do-curativo-de-demora-no-reparo-apical-e-periapical-de-dentes-d/,Lesões periapicais##Clorexidina,150095##6243
/pt/auxilios/16891/envelhecimento-precoce-de-resinas-compostas-e-estudo-da-alteracao-de-cor-por-meio-de-espectrofotomet/,Resinas compostas##Restauração dentária##Degradação de polímeros##Envelhecimento,3509##6718##174963##2054
