Pesquisador_link,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
/pt/pesquisador/4419/wilson-marques-junior/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,3,0
/pt/pesquisador/8749/marco-tulio-de-mello/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,31,47,69,79,73,92,114,37
/pt/pesquisador/664555/elaine-christine-dantas-moises/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/104008/almir-ferreira-de-andrade/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/pt/pesquisador/664557/glauco-baiocchi-neto/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
/pt/pesquisador/36649/jose-angelo-lauletta-lindoso/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,7,11,10,9
/pt/pesquisador/3688/fernando-luiz-de-lucca/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,13,12,15,13,8,5,4
/pt/pesquisador/5135/deborah-suchecki/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,14,17,23,25,31,22,55,41,27
/pt/pesquisador/581359/marcelino-de-souza-durao-junior/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
/pt/pesquisador/179371/madson-queiroz-almeida/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,22,33,8,21,19,26,11,17,11,8
/pt/pesquisador/33393/marcos-ferreira-minicucci/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,9,7,9,4
/pt/pesquisador/398217/sabrina-thalita-dos-reis-faria/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3
/pt/pesquisador/33688/egberto-ribeiro-turato/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
/pt/pesquisador/71328/carlos-alan-candido-dias-junior/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/pt/pesquisador/68971/wagner-jose-favaro/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,9,5,14,11,12
/pt/pesquisador/74403/rodolfo-de-paula-vieira/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,18,16,8,22,29,41,54,78,27
/pt/pesquisador/51573/fernanda-bono-fukushima/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/18153/gustavo-jacob-lourenco/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/33907/eduardo-barros-puertas/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
/pt/pesquisador/226967/alexandra-valeria-maria-brentani/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
/pt/pesquisador/7098/marisa-passarelli/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,10,9,13,21,30,33,37,31,21
/pt/pesquisador/7245/arthur-oscar-schelp/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/951/roberto-passetto-falcao/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,11,11,10,10,20,32,43,30,14
/pt/pesquisador/3678/maria-elizabeth-rossi-da-silva/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,4,1
